Wiek,Dochod_Miesieczny_PLN,Kwota_Kredytu_PLN,Okres_Kredytowania_Miesiace,Liczba_Dzieci,Staz_Pracy_Lata,Ocena_BIK,Wklad_Wlasny_Procent,Liczba_Spóźnionych_Rat,Wydatki_Stale_PLN,Karta_Kredytowa,Czy_Splaci_Kredyt
61,6108.14,206501,36,1,10,682,0.33,2,2281.13,1,0
69,6480.7,426885,120,1,24,675,0.31,1,3266.24,0,1
20,7646.71,175140,24,1,17,770,0.11,4,1459.81,1,1
54,10104.91,229861,36,3,18,330,0.38,1,4445.2,1,0
68,6502.39,150507,60,3,22,674,0.05,4,678.91,1,0
24,5092.41,235160,60,1,17,310,0.35,3,1902.33,0,0
38,2000.0,193321,360,3,25,601,0.39,4,2870.21,0,0
26,9922.61,47384,60,2,5,395,0.07,1,3084.31,1,1
56,5473.52,91929,48,2,3,489,0.29,3,2399.52,1,0
35,7069.62,400103,12,3,28,752,0.02,0,2442.61,1,1
21,9811.81,86153,60,3,33,491,0.16,2,2910.55,1,1
42,6455.2,245128,24,2,16,785,0.21,1,2268.93,0,1
31,5610.66,85388,360,0,15,565,0.23,1,3893.18,1,0
67,8839.35,41401,60,2,1,723,0.37,1,3339.35,0,1
26,6921.47,212903,48,2,33,427,0.27,3,3372.82,0,0
43,7172.21,129503,120,3,7,537,0.19,0,1533.84,0,1
19,2953.68,242601,24,2,12,654,0.32,4,2420.61,1,0
37,8411.83,137834,48,3,7,411,0.38,0,2199.53,0,1
45,6751.18,44084,120,3,29,745,0.01,3,1494.4,0,1
64,3256.82,261459,240,1,31,642,0.39,1,2860.16,1,0
24,6970.19,120641,240,2,29,444,0.03,2,1962.35,1,0
61,2000.0,115111,24,0,0,364,0.33,1,3155.4,1,0
25,10683.95,459042,36,1,16,546,0.11,4,1429.81,0,0
64,3796.29,439667,12,3,19,789,0.05,2,4219.04,1,0
52,9223.59,148299,360,3,23,738,0.18,1,1603.67,0,1
31,4374.09,172982,12,0,21,405,0.26,2,2719.3,0,0
34,7120.45,308185,48,3,28,480,0.15,0,3291.86,1,0
53,4175.74,361064,120,2,21,483,0.02,3,1929.36,0,0
67,7994.23,337825,12,1,8,525,0.24,1,3352.47,0,1
57,5529.36,244386,120,3,9,388,0.36,4,1270.82,0,0
21,6935.56,353715,120,3,27,829,0.15,0,3952.12,0,1
19,6030.13,206553,48,0,27,670,0.09,1,2514.15,1,1
23,3268.67,471792,48,2,20,698,0.18,0,1903.59,0,0
59,7008.21,270337,48,3,23,405,0.02,4,2200.82,1,0
21,4993.53,137556,12,0,1,570,0.33,1,3308.92,0,1
46,8090.63,205246,240,3,7,802,0.33,4,1915.54,0,1
35,5528.28,36160,48,0,26,824,0.24,2,1750.64,1,1
43,5846.47,256242,360,0,21,331,0.14,4,2278.46,0,0
61,9365.85,27633,12,2,26,692,0.32,2,1323.04,0,1
51,10763.27,498096,48,3,28,339,0.22,1,4320.54,0,0
27,7572.07,289158,60,2,2,517,0.33,2,1933.61,0,0
53,5425.72,352676,120,0,12,381,0.25,1,3331.62,0,0
31,5250.68,59104,360,1,9,500,0.31,1,2709.47,0,0
48,4362.65,444837,48,3,8,746,0.24,3,1515.47,1,0
65,4749.52,349375,24,1,26,727,0.17,1,2494.05,1,1
32,5452.78,78388,120,3,33,337,0.38,2,3284.0,1,0
25,9928.51,26014,120,2,0,510,0.22,3,2311.74,0,0
31,5605.56,102578,48,2,31,743,0.24,3,3693.11,0,0
40,3547.89,174827,240,2,24,626,0.09,1,3521.52,0,0
57,6083.33,50390,36,2,28,526,0.25,4,3418.91,1,0
38,6356.26,295855,240,2,6,347,0.23,4,2040.34,0,0
33,6071.27,101658,48,1,2,317,0.07,3,1420.16,1,0
62,7599.38,67993,120,2,19,738,0.02,1,1886.41,0,1
35,6138.01,215768,360,0,19,486,0.24,4,2696.24,0,0
64,7537.45,168285,24,0,29,644,0.31,1,3045.79,0,1
41,4439.31,256860,360,1,34,523,0.21,1,500.0,1,0
43,9561.46,461000,360,3,34,787,0.09,3,2491.89,0,0
42,6504.96,279565,120,0,26,528,0.27,3,2658.09,1,0
62,6800.44,228008,240,3,25,689,0.03,0,2222.46,0,1
58,4430.98,27727,24,1,13,487,0.18,4,3791.27,0,0
46,6943.65,384562,12,3,16,569,0.07,4,2921.78,1,0
32,7302.13,14358,60,3,17,609,0.07,4,3810.19,0,0
62,3660.46,337252,120,3,28,431,0.08,2,2284.04,0,0
18,2681.82,267681,48,3,19,371,0.15,1,3437.48,0,0
42,6587.33,104018,12,1,26,486,0.02,3,4135.07,0,0
24,5022.46,396601,60,0,17,785,0.16,4,3811.69,1,0
26,6519.84,435333,48,2,3,490,0.2,0,1407.86,1,0
41,3417.93,491916,360,3,0,721,0.19,4,2246.32,0,0
18,2878.99,304054,36,0,0,419,0.15,1,2154.84,0,0
61,6413.38,136888,48,0,25,519,0.34,1,2989.25,1,0
25,5300.43,239104,24,1,19,352,0.06,3,3186.35,0,0
41,2000.0,327898,24,0,22,750,0.2,2,1661.11,1,0
28,8686.2,203510,36,1,9,711,0.02,3,2567.84,0,1
68,3384.69,119847,12,3,10,536,0.03,4,500.0,1,0
34,11146.65,432587,60,3,4,705,0.23,0,3941.95,1,1
25,4751.97,454717,48,2,0,721,0.23,3,1987.63,1,0
52,6803.12,464162,24,2,16,546,0.35,2,2555.86,1,0
52,9293.9,310611,12,2,21,371,0.22,3,2190.35,0,0
50,8958.87,420841,36,0,33,484,0.38,1,3646.03,0,0
22,9972.27,306037,240,3,28,305,0.02,4,500.0,1,0
59,2953.85,86329,120,1,3,505,0.04,4,2483.39,1,0
56,3728.27,41007,240,2,4,843,0.02,4,2394.18,1,0
58,6451.99,494518,240,1,10,686,0.07,4,2046.36,1,0
45,7679.49,180604,24,1,20,375,0.22,4,4226.23,0,0
24,5977.55,326397,360,2,34,476,0.26,4,1612.67,1,0
26,2724.01,22323,360,3,11,648,0.02,0,3271.8,1,1
25,6993.16,383479,36,2,25,554,0.38,2,2856.25,1,0
29,5611.5,122356,48,1,18,607,0.34,4,3761.52,1,0
51,5587.52,120944,360,2,6,644,0.12,2,1832.81,1,0
50,2000.0,214451,240,1,6,426,0.03,4,1767.03,1,0
65,7594.97,417426,360,1,25,586,0.07,3,3596.07,1,0
40,6290.41,288600,240,2,4,786,0.05,4,2925.32,0,0
41,9590.33,41367,60,0,20,682,0.05,1,955.06,1,1
54,5850.98,64624,24,2,13,705,0.21,0,1960.69,1,1
52,7132.68,413322,24,0,3,687,0.1,3,2886.38,1,0
61,7663.64,244565,48,1,22,824,0.14,3,3337.76,0,1
57,2507.68,78008,360,1,19,575,0.4,1,1820.77,0,0
39,11233.4,398070,360,0,14,799,0.27,4,500.0,0,0
44,5138.42,387539,120,1,28,636,0.38,0,3023.22,1,1
52,6989.13,126492,12,0,7,780,0.06,3,1279.68,1,0
18,7281.16,82240,60,0,18,572,0.15,0,500.0,1,1
52,4370.43,336459,24,1,27,357,0.22,3,500.0,0,0
54,9693.96,472465,60,3,26,627,0.03,4,3313.98,1,0
64,6531.91,211659,24,0,3,408,0.0,3,2628.62,0,0
31,5573.05,282900,60,2,14,578,0.27,3,2274.34,0,0
20,6277.02,471227,36,2,34,627,0.26,2,3889.02,0,0
18,7528.5,308522,240,1,0,614,0.16,4,3137.32,0,0
22,6021.6,145327,24,3,2,773,0.2,1,4116.3,0,1
43,7763.86,417700,60,1,23,410,0.17,1,1107.26,1,0
31,2630.26,135703,360,3,26,528,0.01,4,2465.45,1,0
56,4504.06,328693,12,0,33,796,0.13,1,883.29,0,1
44,2000.0,175575,36,0,28,455,0.07,4,2270.62,1,0
26,9994.02,345938,36,0,23,772,0.04,1,2251.38,1,1
32,9967.98,317257,12,0,23,571,0.38,2,3126.61,0,0
32,7253.23,84069,60,2,3,301,0.24,1,2545.56,0,1
43,3974.76,239189,360,2,2,810,0.29,3,3123.41,1,0
59,10779.76,408465,48,1,33,585,0.13,4,3203.44,1,0
30,4791.17,261051,12,3,22,312,0.16,0,4654.93,1,0
68,5573.59,422417,60,0,22,797,0.09,0,2184.7,1,1
49,6319.07,135541,12,0,4,537,0.04,4,1558.98,0,0
56,6903.03,199648,12,3,30,393,0.07,2,2746.08,1,0
66,7287.61,266353,24,3,5,637,0.32,1,1697.72,0,0
69,7367.92,281830,60,1,9,470,0.27,2,3981.96,0,0
49,5710.95,325507,48,3,6,766,0.22,0,2216.78,1,1
21,7336.2,369687,240,0,20,442,0.19,4,1934.42,1,0
47,5621.58,141733,24,0,19,500,0.37,4,2028.68,1,0
54,7158.61,185915,12,0,2,479,0.03,2,3218.42,0,0
40,6994.58,105673,240,0,21,663,0.11,2,2342.25,0,0
56,7525.69,464179,120,0,3,778,0.14,1,1858.33,0,1
62,7275.93,52828,240,1,27,770,0.31,3,4165.35,0,1
32,5115.14,320748,12,0,11,683,0.4,3,1643.83,1,0
60,6917.42,282670,12,1,4,716,0.1,1,2535.57,0,0
46,7306.8,341054,360,0,12,607,0.35,3,3152.31,0,0
53,3417.75,35592,60,2,22,666,0.33,0,868.66,1,0
30,5451.91,301126,60,2,29,300,0.09,3,2980.26,0,0
49,7216.23,272351,24,2,24,343,0.16,1,1444.89,0,0
24,9418.58,242041,48,2,26,397,0.16,3,3322.78,1,0
68,7649.8,360877,24,1,13,564,0.39,4,1537.35,0,0
39,9544.76,240008,36,1,15,439,0.07,2,3192.77,0,0
45,5203.25,134982,12,3,21,780,0.32,0,3605.83,0,1
19,6500.38,266911,240,0,20,536,0.13,4,3361.44,0,0
59,7611.47,78619,120,2,20,371,0.29,4,2751.32,1,1
62,2000.0,170400,12,1,7,489,0.17,1,2268.7,0,0
23,9021.61,318623,12,0,15,567,0.23,2,1923.58,1,1
45,2278.18,161175,24,0,30,620,0.33,2,3971.03,0,0
45,7993.88,180963,120,1,9,406,0.32,0,1800.5,1,1
61,7373.66,151826,120,2,31,531,0.35,1,1462.93,1,0
61,2000.0,241055,120,3,33,341,0.02,0,3165.37,1,0
37,2000.0,353581,24,0,8,438,0.28,3,1703.86,0,0
47,8864.96,108540,12,3,16,572,0.06,4,1549.94,0,0
28,8429.44,345126,24,2,10,780,0.17,0,1056.4,0,1
45,4238.27,112747,60,2,31,715,0.22,4,2017.09,1,0
42,4236.24,196994,60,3,9,805,0.16,1,2417.28,0,1
56,7025.21,320375,24,2,21,723,0.21,3,2743.09,0,0
50,5974.51,39301,120,0,16,706,0.4,1,3451.31,0,1
18,8108.79,232724,360,3,3,689,0.05,3,3026.9,0,0
44,6959.16,203783,12,2,24,641,0.27,3,2309.13,1,0
69,9166.06,182395,24,3,20,792,0.16,4,2301.8,1,0
30,7940.16,28752,24,0,0,491,0.05,1,3010.16,0,1
58,7441.55,223277,24,2,24,798,0.06,1,3772.57,0,1
20,5295.75,370596,360,0,16,532,0.38,0,2626.31,0,0
56,5149.36,154467,360,2,23,526,0.35,1,2030.87,1,1
23,5896.48,227029,36,1,1,670,0.36,0,1507.13,0,1
25,9681.89,393381,60,2,14,438,0.4,2,1054.79,1,0
44,5187.45,66273,240,3,31,448,0.08,2,3166.27,1,0
26,6521.06,268503,120,2,5,414,0.14,2,3077.98,0,0
54,2000.0,101878,48,0,0,749,0.27,1,3077.36,0,1
50,7351.62,277039,360,0,22,362,0.19,1,2371.34,0,0
68,10514.4,129968,240,2,16,403,0.17,0,3906.93,1,1
59,4132.72,387844,360,3,33,572,0.14,3,2015.88,1,0
61,12348.88,86559,120,1,28,305,0.24,0,3455.27,0,1
41,6364.48,20699,48,3,8,446,0.23,2,2461.26,1,0
32,2000.0,206133,36,1,12,483,0.06,0,1891.65,0,0
49,5228.92,19715,24,0,5,327,0.19,3,3092.53,0,0
49,8660.88,29169,36,3,5,849,0.22,1,2909.64,1,1
41,9998.63,128413,360,1,19,418,0.23,0,2856.97,1,1
58,7436.2,419379,36,2,2,592,0.08,2,2581.28,1,0
69,9135.19,129264,240,0,16,670,0.3,2,2462.11,1,1
66,3644.43,277926,12,2,11,543,0.01,1,4888.37,0,0
66,4639.48,229249,360,0,0,517,0.14,0,3684.26,0,0
69,2641.08,134481,360,3,16,476,0.31,3,3222.83,0,0
29,4789.87,225400,240,3,2,598,0.23,1,2611.8,1,1
56,7523.84,45585,60,0,25,357,0.1,0,3507.16,0,1
19,6425.31,302826,48,0,14,568,0.28,4,3017.99,1,0
20,7735.7,188936,24,0,31,607,0.23,2,2526.2,1,0
66,4126.97,402136,240,3,31,587,0.32,3,2196.44,1,0
54,4248.95,356560,48,1,3,404,0.29,3,2419.08,0,0
66,6409.22,458330,120,2,17,527,0.24,3,500.0,1,0
34,4794.7,399954,48,2,18,546,0.2,2,2710.6,1,0
66,8603.7,48067,120,3,34,793,0.05,0,2011.52,1,1
19,4745.16,183757,240,2,13,382,0.1,1,4092.67,1,0
19,5009.22,263334,360,0,32,485,0.17,0,2519.34,1,1
45,6837.68,28073,360,1,13,551,0.24,1,1311.04,1,1
40,5221.42,46035,60,2,33,654,0.21,3,2450.12,1,0
54,3530.11,206049,240,1,3,509,0.12,0,1453.88,1,0
49,3801.29,243782,120,0,23,746,0.0,3,2973.41,1,1
50,7075.53,100373,48,2,28,759,0.2,4,2790.95,1,0
18,3282.58,355506,48,3,18,771,0.11,3,3457.84,1,0
36,8794.33,100517,120,1,5,669,0.29,3,1709.12,1,1
19,4619.2,75450,36,0,32,791,0.01,1,2534.01,0,0
61,7232.43,20382,60,1,18,436,0.23,4,1134.98,0,0
43,4739.17,407653,12,2,0,666,0.38,3,3201.49,1,0
49,4169.52,212043,360,2,4,483,0.07,3,3018.87,1,0
23,6492.21,467828,24,3,26,586,0.19,4,2995.81,1,0
49,8103.57,231427,48,0,15,771,0.04,4,2501.62,0,1
21,5505.26,71929,24,0,5,674,0.25,0,2914.77,0,1
28,5869.05,243483,12,3,12,836,0.22,1,4104.34,0,1
34,7614.83,238590,240,3,34,810,0.16,4,2214.91,1,0
55,7681.05,371008,24,0,18,549,0.21,4,2638.65,1,0
41,5923.02,153401,12,1,11,809,0.36,2,1413.87,1,1
22,5113.04,266677,360,1,15,372,0.08,4,1631.74,1,0
69,6165.31,297313,120,3,9,581,0.01,1,2597.81,0,0
51,5618.18,97468,36,1,24,659,0.34,3,3603.93,1,0
23,6625.95,44594,360,0,19,309,0.23,3,2243.72,0,0
39,3611.46,480173,48,2,30,510,0.36,3,2264.08,0,0
28,6554.36,201703,12,2,3,451,0.24,3,2093.11,1,0
65,4563.39,55033,24,1,22,304,0.32,2,1965.24,0,0
33,7811.78,73133,48,3,1,494,0.17,4,2794.97,0,0
50,4655.06,476381,36,3,21,582,0.3,3,1002.74,0,0
26,4689.78,83861,120,3,7,763,0.37,0,3780.94,0,1
23,6890.8,193362,240,3,6,412,0.23,3,1834.58,1,0
33,6028.42,497247,48,3,13,570,0.07,4,3221.9,1,0
46,10553.3,303894,240,1,2,462,0.11,3,1230.0,0,0
20,2741.39,498371,12,2,15,759,0.08,2,3168.84,1,0
37,6219.71,50461,36,2,18,404,0.1,1,3171.94,0,0
53,8259.3,477016,24,1,17,581,0.12,1,2884.2,1,0
36,4843.37,88222,36,3,15,461,0.22,4,1505.57,1,0
43,4178.88,122020,36,1,7,650,0.24,1,2749.55,1,0
20,4258.27,296370,60,2,32,733,0.17,1,1316.94,1,0
36,2776.08,278865,36,0,11,439,0.25,0,2247.24,1,0
37,8699.41,459370,36,1,10,770,0.03,4,3529.41,0,0
49,5340.77,30609,360,3,4,431,0.04,4,3296.7,1,0
24,5103.95,455346,48,2,26,386,0.07,1,2515.18,0,0
69,2000.0,140513,24,2,11,482,0.21,1,1525.19,0,0
58,3132.58,213981,360,2,16,667,0.09,1,3145.59,1,0
50,8930.78,114211,360,2,5,428,0.11,2,2519.38,0,1
57,6606.21,196321,48,3,32,545,0.16,3,500.0,1,0
56,8333.0,452111,48,0,4,677,0.32,2,3282.63,0,0
35,8079.98,497689,12,2,27,448,0.01,4,2475.77,0,0
57,3998.76,408872,48,1,13,732,0.26,0,3702.45,1,1
18,10859.7,397009,60,0,4,768,0.27,3,1404.73,1,1
28,9899.47,346664,60,2,32,745,0.32,0,500.0,1,1
45,4872.47,466956,360,0,18,780,0.37,4,2779.08,1,0
42,2000.0,336453,240,1,21,593,0.01,4,2791.56,0,0
67,5286.94,39984,12,2,4,442,0.06,0,809.33,1,0
40,6476.59,128947,240,1,1,549,0.35,0,1521.5,0,1
48,4864.56,214894,240,3,29,601,0.18,0,5255.22,0,0
47,5556.96,15901,360,2,3,324,0.23,4,2194.39,0,0
59,4342.68,172624,120,2,32,369,0.27,1,3230.96,0,0
52,7843.27,232317,360,2,12,411,0.27,0,1849.34,0,1
24,6127.27,303199,24,2,19,663,0.37,3,500.0,0,0
33,7903.03,178757,24,3,6,602,0.4,4,2329.74,1,0
43,8444.41,477181,48,2,14,770,0.29,2,2234.4,0,1
65,2000.0,155788,48,0,22,390,0.11,2,2100.12,0,0
69,4458.96,124099,120,2,13,829,0.35,3,2385.36,0,0
66,4751.94,21138,48,3,22,491,0.02,1,2764.27,1,1
19,11142.74,176370,24,2,18,541,0.09,0,2349.88,1,1
18,6298.01,454328,240,0,28,437,0.36,4,1235.99,0,0
65,7625.12,33429,360,3,19,644,0.1,0,2986.18,1,1
29,2238.62,60200,36,3,28,479,0.09,4,550.63,0,0
22,6286.43,212380,60,0,23,802,0.06,2,500.0,1,1
54,7956.59,451460,36,0,17,502,0.34,0,3239.18,0,1
49,7723.93,258289,36,0,9,491,0.2,3,3007.02,1,0
26,7246.8,255127,24,0,7,304,0.27,1,2442.6,1,0
58,6026.0,373412,36,0,25,536,0.1,3,1104.55,1,0
52,6123.14,246513,360,3,28,610,0.3,1,1792.09,0,0
36,2613.47,27347,120,3,9,848,0.3,0,2237.25,0,1
65,4198.93,157992,12,2,16,355,0.13,0,904.11,0,0
33,6461.89,41822,48,2,1,742,0.16,1,1760.97,1,1
20,4568.05,449875,12,1,5,536,0.08,2,3152.33,1,0
37,7377.68,50108,240,2,4,496,0.39,4,3927.31,0,1
41,6933.57,401099,360,2,27,813,0.26,3,2080.57,1,0
50,8734.74,492315,360,0,4,748,0.37,3,3256.49,0,0
41,7916.51,17967,60,0,17,659,0.12,3,585.94,0,0
69,6454.52,382863,360,2,25,329,0.31,0,3159.45,0,0
28,7495.96,21871,48,1,19,407,0.31,3,1696.05,0,0
66,8010.2,235371,360,0,26,744,0.28,4,2807.35,1,1
25,4985.13,218524,36,2,11,737,0.39,4,2252.25,1,0
53,5341.34,215342,60,2,6,756,0.16,1,3820.41,1,1
55,5806.35,174685,48,3,2,794,0.05,0,1625.56,0,1
57,5048.94,38179,120,1,9,546,0.27,4,3127.61,1,0
37,8031.37,261537,120,3,33,842,0.29,2,2220.49,0,1
52,4745.38,193260,120,1,24,738,0.23,0,2341.69,0,0
65,8503.3,327243,120,0,34,577,0.08,0,2316.15,0,0
42,5266.05,45262,36,1,15,410,0.2,4,1654.33,0,0
52,6944.79,350357,360,2,1,684,0.12,2,2485.9,0,0
42,6332.83,389551,12,2,23,490,0.17,1,2437.35,0,0
46,4048.04,421484,48,1,9,789,0.26,4,2741.24,1,0
35,5960.22,481082,36,1,21,725,0.3,2,2584.51,1,0
63,6667.29,358413,120,1,25,704,0.09,0,3297.99,1,0
35,5871.41,70545,240,3,26,634,0.16,2,3423.51,1,1
19,3314.59,244555,360,1,28,508,0.11,0,1449.38,0,0
52,9402.86,233894,12,0,19,321,0.08,4,3368.77,0,0
33,6175.4,213218,240,3,26,507,0.31,4,1313.66,1,0
58,4411.39,475182,60,3,19,307,0.36,3,3087.86,1,0
53,9241.54,312066,240,1,18,828,0.15,3,3119.74,1,0
50,7234.78,482580,60,0,19,465,0.3,3,588.68,1,0
21,3599.66,52913,60,3,34,795,0.36,4,2592.98,1,1
50,3911.01,369177,120,2,1,728,0.34,1,2031.5,1,0
31,5555.21,376936,60,3,29,462,0.07,4,1741.23,1,0
38,6594.61,260497,24,1,33,665,0.38,2,3850.85,1,0
65,7245.6,458893,48,0,21,825,0.15,4,1846.32,0,0
37,7900.36,453057,48,1,2,538,0.14,4,1693.62,0,0
25,7079.14,187404,120,2,5,371,0.02,0,2575.69,0,1
24,8693.49,495278,24,2,14,744,0.19,0,3185.59,0,1
20,6253.59,392007,240,2,26,808,0.04,0,2358.35,1,1
34,4480.72,498910,36,1,9,568,0.1,4,3666.37,0,0
50,5993.3,166104,240,3,8,714,0.13,1,3030.98,1,0
65,5862.04,178918,360,1,32,544,0.32,2,500.0,0,0
29,2000.0,200546,36,0,31,359,0.35,2,1970.53,1,0
68,4877.27,54936,60,3,5,305,0.12,1,1938.16,1,0
39,6628.41,170866,12,2,1,706,0.34,1,2979.36,0,1
39,5151.57,202660,36,1,28,516,0.34,2,500.0,0,0
63,4707.58,212056,12,2,3,325,0.31,3,5049.01,1,0
47,7822.75,453547,48,2,0,304,0.06,0,3031.03,1,0
55,4166.91,235469,12,0,18,831,0.28,0,2648.88,1,1
55,7423.25,38141,48,3,25,689,0.38,2,3681.57,0,1
62,3334.51,412290,24,0,24,747,0.27,1,4843.65,0,1
68,11521.52,147478,24,0,9,445,0.13,3,3370.75,1,0
25,5568.63,107359,120,0,14,687,0.2,2,3448.81,0,1
44,5353.47,395423,120,2,21,548,0.26,0,2630.69,1,0
44,8286.13,164363,60,0,20,825,0.2,4,2358.47,0,0
51,5162.59,51568,36,0,21,761,0.05,1,2024.2,0,1
38,8909.86,107539,60,3,33,312,0.12,4,1673.89,0,0
47,6743.19,56851,48,3,29,683,0.32,2,1812.99,0,1
50,5763.2,64823,60,0,24,698,0.34,0,1149.44,0,1
45,5549.99,33312,12,3,27,318,0.05,3,2424.13,1,0
64,8415.18,446324,48,3,0,790,0.38,4,815.33,1,0
50,6460.97,470134,120,0,3,718,0.13,3,2690.92,0,0
22,6864.62,437387,24,2,6,636,0.26,0,2463.67,1,0
65,7082.0,444995,120,0,8,718,0.3,4,2646.94,1,0
36,6265.87,209900,36,3,18,421,0.32,3,1977.87,0,0
21,7039.74,370867,48,2,0,731,0.38,3,5576.86,1,0
52,5763.35,284555,48,1,9,343,0.13,4,3860.12,0,0
66,5900.38,259062,12,2,8,616,0.34,0,1255.46,1,1
34,3761.77,329153,36,3,31,680,0.05,3,2732.87,1,0
61,6595.52,418638,24,2,31,444,0.28,2,1891.99,1,0
45,2560.92,445684,240,0,5,626,0.3,4,1485.52,1,0
47,6567.12,42371,48,1,16,662,0.27,1,1159.93,1,1
46,5438.77,67022,48,1,9,349,0.1,1,2932.22,1,1
63,6749.17,343373,12,1,26,364,0.35,0,1818.62,1,1
23,3902.34,109071,60,3,34,654,0.07,2,3467.83,0,0
52,2000.0,192268,360,3,20,463,0.02,3,3493.78,0,0
58,5298.27,483570,24,1,24,440,0.29,1,3873.91,0,0
54,3908.17,368918,120,2,27,427,0.19,0,1647.61,0,0
41,2438.89,499626,36,1,14,697,0.34,2,2975.37,1,0
46,7535.97,298859,48,2,3,762,0.15,2,3132.45,1,1
66,9202.48,299749,48,2,28,486,0.07,0,2025.82,1,1
63,4406.1,109853,120,3,8,489,0.33,0,1728.23,0,1
48,5848.46,41174,24,2,26,687,0.22,3,4109.52,0,1
52,5384.43,413172,360,1,25,728,0.08,0,2727.5,0,0
50,4682.2,86373,60,3,18,583,0.29,3,3135.97,1,0
69,7327.47,341396,48,0,27,536,0.2,3,1677.92,0,0
38,8020.28,203021,360,0,16,493,0.24,4,1280.72,1,0
49,4262.79,203718,24,3,19,586,0.18,2,1930.55,0,1
40,6089.53,80017,120,1,22,435,0.33,2,2375.98,1,0
50,8569.07,73037,12,0,31,470,0.33,2,1435.78,0,1
20,7378.07,99818,60,0,32,458,0.28,4,2490.16,1,0
35,7675.39,16548,36,2,4,500,0.04,3,811.49,0,0
42,8735.97,126981,48,2,33,786,0.34,3,1379.95,0,1
59,8709.69,244213,24,1,10,803,0.27,0,3170.91,1,1
48,8057.29,214366,12,3,2,670,0.28,4,3103.79,1,0
20,6289.87,164249,36,1,32,402,0.15,0,2108.12,0,0
57,5235.03,296166,240,3,10,424,0.35,4,1482.24,1,0
63,6206.96,116297,24,0,15,612,0.29,0,1472.6,0,1
41,4931.19,146614,24,2,17,757,0.05,1,2126.73,1,0
67,2095.03,232084,36,1,29,529,0.16,2,3144.52,0,0
49,5441.0,499536,12,1,9,496,0.35,2,3428.25,1,0
64,6715.05,70428,240,3,17,722,0.02,3,2003.47,0,1
39,4825.46,163812,360,3,18,470,0.38,1,1346.51,0,0
40,5614.44,331497,360,1,12,681,0.27,2,2767.84,0,0
19,5691.93,493569,120,3,2,472,0.25,3,1676.47,1,0
44,8713.71,123132,12,1,9,752,0.11,1,1981.75,0,1
59,5281.13,197604,60,1,0,649,0.1,2,3825.28,1,0
19,8713.27,26052,48,1,26,793,0.38,0,3327.12,1,1
43,2000.0,110689,36,0,7,303,0.12,4,2657.97,1,0
34,8695.71,188148,120,3,16,392,0.31,1,1228.08,0,0
